time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20100116:1411,144.83,14.04,65.82,1.71,11.03,3.2,5.1,0
20100116:1511,20.21,0,19.48,0.5,5.16,2.71,4.62,0
20100116:1611,0,0,0,0,0,1.66,4.48,0
20100116:1711,0,0,0,0,0,1.39,4.83,0
20100116:1811,0,0,0,0,0,1.72,5.03,0
20100116:1911,0,0,0,0,0,1.48,4.62,0
20100116:2011,0,0,0,0,0,1.39,4.34,0
20100116:2111,0,0,0,0,0,1.55,3.79,0
20100116:2211,0,0,0,0,0,1.73,3.38,0
20100116:2311,0,0,0,0,0,1.97,3.03,0
20100117:0011,0,0,0,0,0,2.33,2.69,0
20100117:0111,0,0,0,0,0,2.69,2.28,0
20100117:0211,0,0,0,0,0,2.96,1.93,0
20100117:0311,0,0,0,0,0,3.08,1.59,0
20100117:0411,0,0,0,0,0,3.03,1.52,0
20100117:0511,0,0,0,0,0,3.09,1.66,0
20100117:0611,0,0,0,0,0,3.44,2.28,0
20100117:0711,0,0,0,0,0,4.44,3.59,0
20100117:0811,298.94,133.37,20.81,0.64,2.86,5.42,5.45,0
20100117:0911,160.36,26.91,60.88,1.57,9.28,5.92,6.14,0
20100117:1011,260.8,33.95,98.12,2.57,14.05,5.97,5.79,0
20100117:1111,1124.11,341.72,170.84,5.31,16.77,6.39,5.79,0
20100117:1211,1557.96,580.32,137.19,6.33,17.21,6.59,5.31,0
20100117:1311,1404.77,516.23,128.87,5.49,15.3,6.59,5.24,0
20100117:1411,1153.92,435.56,93.65,3.87,11.24,6.27,5.24,0
20100117:1511,528.02,202.92,50.28,1.43,5.37,5.68,4.69,0
20100117:1611,0,0,0,0,0,4.63,4.14,0
20100117:1711,0,0,0,0,0,4.25,3.93,0
20100117:1811,0,0,0,0,0,4.35,3.86,0
20100117:1911,0,0,0,0,0,4.66,3.59,0
20100117:2011,0,0,0,0,0,4.76,3.59,0
20100117:2111,0,0,0,0,0,4.63,3.59,0
20100117:2211,0,0,0,0,0,4.68,3.52,0
20100117:2311,0,0,0,0,0,4.44,3.38,0
20100118:0011,0,0,0,0,0,4.14,3.03,0
20100118:0111,0,0,0,0,0,3.73,2.83,0
20100118:0211,0,0,0,0,0,3.44,2.76,0
20100118:0311,0,0,0,0,0,2.92,2.83,0
20100118:0411,0,0,0,0,0,2.51,2.9,0
20100118:0511,0,0,0,0,0,2.11,2.97,0
20100118:0611,0,0,0,0,0,1.7,2.97,0
20100118:0711,0,0,0,0,0,1.87,3.03,0
20100118:0811,41.56,17,14.65,0.39,3,1.75,3.1,0
20100118:0911,75.44,3.79,44.04,1.14,9.44,2.64,3.17,0
20100118:1011,27.9,0,23.91,0.61,14.22,3.79,3.17,0
20100118:1111,74.55,0,47.82,1.23,16.97,5.07,4.41,0
20100118:1211,70.58,0,46.04,1.18,17.41,5.95,4.9,0
20100118:1311,63.22,0,42.5,1.09,15.51,6.41,4.55,0
20100118:1411,9.87,0,13.28,0.34,11.45,6.38,3.86,0
20100118:1511,19.82,0,19.48,0.5,5.58,6.14,3.59,0
20100118:1611,0,0,0,0,0,5.77,3.38,0
20100118:1711,0,0,0,0,0,5.42,3.24,0
20100118:1811,0,0,0,0,0,5.35,3.1,0
20100118:1911,0,0,0,0,0,5.52,3.31,0
20100118:2011,0,0,0,0,0,5.59,3.24,0
20100118:2111,0,0,0,0,0,5.65,3.31,0
20100118:2211,0,0,0,0,0,5.74,3.38,0
20100118:2311,0,0,0,0,0,5.75,3.38,0
20100119:0011,0,0,0,0,0,5.62,3.17,0
20100119:0111,0,0,0,0,0,5.38,2.69,0
20100119:0211,0,0,0,0,0,5.19,2.28,0
20100119:0311,0,0,0,0,0,4.51,2.07,0
20100119:0411,0,0,0,0,0,4.16,1.86,0
20100119:0511,0,0,0,0,0,4.14,1.59,0
20100119:0611,0,0,0,0,0,3.95,1.52,0
20100119:0711,0,0,0,0,0,3.08,1.31,0
20100119:0811,22.49,8.13,13,0.34,3.14,2.78,1.24,0
20100119:0911,150.86,22.39,60.65,1.57,9.6,3.4,0.9,0
20100119:1011,56.59,0,38.96,1,14.4,4.52,1.66,0
20100119:1111,386.06,55.93,131.13,3.48,17.16,4.77,1.45,0
20100119:1211,438.56,69.16,140.85,3.76,17.62,4.84,1.59,0
20100119:1311,268.39,29.05,106.56,2.8,15.73,5.04,1.72,0
20100119:1411,27.7,0,23.91,0.61,11.67,5.09,1.86,0
20100119:1511,19.94,0,19.48,0.5,5.8,4.98,1.59,0
20100119:1611,0,0,0,0,0,4.6,1.1,0
20100119:1711,0,0,0,0,0,4.17,0.97,0
20100119:1811,0,0,0,0,0,3.68,1.1,0
20100119:1911,0,0,0,0,0,3.38,1.45,0
20100119:2011,0,0,0,0,0,3.24,1.59,0
20100119:2111,0,0,0,0,0,3.29,1.66,0
