time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180607:0310,0,0,0,0,0,15.91,1.17,0
20180607:0410,0,0,3.81,0.04,5.29,16.58,0.83,0
20180607:0510,208.82,26.52,90.6,0.95,13.75,17.02,0.48,0
20180607:0610,915.22,290.12,173.93,2.76,22.82,19.06,0.28,0
20180607:0710,1137.92,354.19,232.7,3.96,32.14,20.85,0.34,0
20180607:0810,969.26,184.06,318.54,4.14,41.34,22.57,0.41,0
20180607:0910,642.64,24.74,311.08,3.22,49.88,23.92,1.1,0
20180607:1010,1677.15,702.57,194.7,7.62,56.87,24.68,1.45,0
20180607:1110,1598.66,679.04,178.86,8.05,60.88,25.52,1.17,0
20180607:1210,1337.12,430.62,276.93,7.31,60.56,25.89,1.24,0
20180607:1310,973.75,142.62,367.9,5.45,56.04,26.23,1.59,0
20180607:1410,830.35,127.68,308.99,5.14,48.76,25.96,1.72,0
20180607:1510,273.15,0,153.41,1.51,40.09,25.79,2.07,0
20180607:1610,49.6,0,39.07,0.38,30.84,25.66,2.07,0
20180607:1710,162.61,0,97.83,0.99,21.53,24.68,2.48,0
20180607:1810,24.38,0,23.99,0.24,12.53,23.97,2,0
20180607:1910,0,0,2.77,0.03,4.17,23.04,1.72,0
20180607:2010,0,0,0,0,0,21.91,1.79,0
20180607:2110,0,0,0,0,0,20.93,1.66,0
20180607:2210,0,0,0,0,0,20.12,1.72,0
20180607:2310,0,0,0,0,0,19.38,1.66,0
20180608:0010,0,0,0,0,0,18.77,1.86,0
20180608:0110,0,0,0,0,0,18.36,1.79,0
20180608:0210,0,0,0,0,0,17.77,1.86,0
20180608:0310,0,0,0,0,0,17.43,2,0
20180608:0410,0,0,3.81,0.04,5.34,17.04,2.14,0
20180608:0510,71.8,0,49.55,0.49,13.8,16.92,2.41,0
20180608:0610,69.89,0,48.59,0.48,22.86,17.13,2.55,0
20180608:0710,238.4,0,131.49,1.29,32.18,17.51,1.86,0
20180608:0810,158.92,0,93.38,0.92,41.39,17.94,2.07,0
20180608:0910,177.99,0,102.91,1.01,49.94,18.7,2.48,0
20180608:1010,279.32,0,151.5,1.49,56.93,18.68,2.69,0
20180608:1110,770.31,25.89,362.22,3.79,60.97,18.97,2.62,0
20180608:1210,888.39,55.5,392.86,4.45,60.66,19.83,2.55,0
20180608:1310,927.35,89.58,379.26,4.88,56.14,20.57,2.76,0
20180608:1410,866.96,148.34,294.52,5.33,48.86,21.31,2.62,0
20180608:1510,609.14,49.02,270.72,3.84,40.19,22,2.41,0
20180608:1610,400.92,18.09,202.37,2.96,30.94,21.91,2.28,0
20180608:1710,234.81,0,131.97,1.34,21.63,21.69,2.28,0
20180608:1810,128.12,0,79.37,0.81,12.63,21.41,2.07,0
20180608:1910,21.92,0,22.15,0.22,4.27,20.08,2.21,0
20180608:2010,0,0,0,0,0,19.54,2.28,0
20180608:2110,0,0,0,0,0,18.83,2.28,0
20180608:2210,0,0,0,0,0,18.3,2.28,0
20180608:2310,0,0,0,0,0,17.87,2.14,0
20180609:0010,0,0,0,0,0,17.26,2,0
20180609:0110,0,0,0,0,0,16.93,1.79,0
20180609:0210,0,0,0,0,0,16.5,1.79,0
20180609:0310,0,0,0,0,0,16.21,1.72,0
20180609:0410,0,0,3.81,0.04,5.38,15.8,1.66,0
20180609:0510,365.11,81.56,108.34,1.23,13.84,16.18,1.59,0
20180609:0610,458.43,63.07,171.01,1.89,22.89,17.12,1.86,0
20180609:0710,1008.89,249.94,250.92,3.61,32.22,17.92,2.07,0
20180609:0810,1444.97,479.81,254.41,5.32,41.43,19.15,1.86,0
20180609:0910,1730,729.55,174.83,6.95,49.98,20.19,1.52,0
20180609:1010,1741.28,756.97,162.35,7.79,56.99,21.63,1.45,0
20180609:1110,1667.16,731.99,144.73,8.23,61.04,22.68,1.59,0
20180609:1210,1479.07,621.27,150.64,8.1,60.75,23.67,1.59,0
20180609:1310,993.29,151.18,365.66,5.54,56.23,24.43,1.45,0
20180609:1410,559.07,8.08,286.79,2.95,48.96,24.66,1.45,0
20180609:1510,604.4,106.47,221.61,4.69,40.28,24.41,1.66,0
20180609:1610,406.47,11.76,210.94,2.7,31.03,23.99,1.86,0
20180609:1710,264.59,0,147.66,1.5,21.72,23.58,2.21,0
20180609:1810,119.88,0,75.68,0.77,12.73,22.94,2.34,0
20180609:1910,13.24,0,16.61,0.17,4.37,21.92,2.69,0
20180609:2010,0,0,0,0,0,20.66,2.62,0
20180609:2110,0,0,0,0,0,19.64,2.69,0
20180609:2210,0,0,0,0,0,18.86,2.69,0
20180609:2310,0,0,0,0,0,18.42,2.48,0
20180610:0010,0,0,0,0,0,17.82,1.79,0
20180610:0110,0,0,0,0,0,17.32,1.79,0
20180610:0210,0,0,0,0,0,16.67,1.79,0
20180610:0310,0,0,0,0,0,16.02,2,0
20180610:0410,216.4,81.35,41.94,0.48,5.42,15.67,1.93,0
20180610:0510,316.4,62.24,104.54,1.15,13.87,15.97,1.93,0
20180610:0610,770.68,194.58,185.56,2.49,22.92,16.73,2.41,0
20180610:0710,1383.72,505.88,185.94,4.39,32.25,18.06,2.28,0
