time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160521:1311,1419.8,364.98,339.21,14.93,52.34,22.17,4.97,0
20160521:1411,1252.2,334.53,284.51,13.55,45.23,23.1,5.45,0
20160521:1511,967.55,254.47,225.46,11.29,36.75,23.49,5.93,0
20160521:1611,632.2,194.68,135.07,9.09,27.68,23.08,5.72,0
20160521:1711,218.93,48.8,92.21,5.47,18.53,22.68,4.69,0
20160521:1811,68.27,0,47.74,1.31,9.66,22.05,4,0
20160521:1911,0,0,0,0,0,21.08,3.24,0
20160521:2011,0,0,0,0,0,19.86,3.59,0
20160521:2111,0,0,0,0,0,19.08,3.79,0
20160521:2211,0,0,0,0,0,18.53,3.72,0
20160521:2311,0,0,0,0,0,18.1,3.31,0
20160522:0011,0,0,0,0,0,17.39,2.9,0
20160522:0111,0,0,0,0,0,16.57,2.62,0
20160522:0211,0,0,0,0,0,15.95,2.69,0
20160522:0311,0,0,0,0,0,15.61,2.62,0
20160522:0411,24.78,0,23.05,0.63,4.79,15.24,2.62,0
20160522:0511,139.08,4.57,79.79,2.96,13.31,15.63,2.48,0
20160522:0611,456.02,160.54,91.33,7.51,22.33,17.08,2.21,0
20160522:0711,617.52,82.16,226.13,7.56,31.5,19.28,3.72,0
20160522:0811,1178.6,328.84,247.34,12.56,40.41,20.54,5.03,0
20160522:0911,908.9,103.8,341.3,10.43,48.47,20.65,5.72,0
20160522:1011,444.49,0,226.87,5.79,54.75,20.6,5.38,0
20160522:1111,557.65,4.67,276.12,7.13,57.98,20.67,4.14,0
20160522:1211,344.22,0,180.79,4.61,57.14,20.91,3.45,0
20160522:1311,409.99,0,211.81,5.41,52.53,20.81,3.24,0
20160522:1411,170.15,0,97.48,2.49,45.4,18.9,2.69,0
20160522:1511,319.18,0.96,165.78,4.25,36.91,17.19,2.07,0
20160522:1611,187.09,0,104.57,2.67,27.84,16.61,2.55,0
20160522:1711,235.65,11.31,120.19,3.8,18.69,16.27,2.28,0
20160522:1811,85.14,0,55.15,1.52,9.83,15.84,1.93,0
20160522:1911,0,0,0,0,0,15.3,1.31,0
20160522:2011,0,0,0,0,0,15.06,1.66,0
20160522:2111,0,0,0,0,0,14.85,1.86,0
20160522:2211,0,0,0,0,0,14.63,1.79,0
20160522:2311,0,0,0,0,0,14.35,1.59,0
20160523:0011,0,0,0,0,0,14.03,1.31,0
20160523:0111,0,0,0,0,0,13.8,0.97,0
20160523:0211,0,0,0,0,0,13.61,0.9,0
20160523:0311,0,0,0,0,0,13.46,0.9,0
